phrase,ratio_balanced,ai_docs,human_docs,ai_per_1000,human_per_1000,regs_ratio_ge2,top_reg_share,register_skewed,gen2026_per_1000,humanv2_per_1000,generalises
fostering a,15.16,26,0,4.6,0.0,6,0.38,False,1.74,0.0,True
early career,15.15,67,4,11.85,0.41,5,0.66,False,18.18,0.97,True
working day,15.13,98,4,17.33,0.41,5,0.7,True,38.84,0.97,True
the fix is,15.04,46,0,8.13,0.0,4,0.48,False,19.42,0.0,True
open morning,15.02,30,0,5.31,0.0,4,0.93,True,14.19,0.0,True
is the following,14.99,48,2,8.49,0.2,6,0.25,False,0.0,0.24,False
task is the,14.95,48,2,8.49,0.2,6,0.25,False,0.0,0.24,False
twelve months,14.9,109,3,19.27,0.3,4,0.59,False,40.09,0.72,True
multi academy trust,14.85,57,0,10.08,0.0,4,0.98,True,21.41,0.0,True
lower back,14.82,100,7,17.68,0.71,4,0.47,False,34.11,1.21,True
the vat,14.74,66,3,11.67,0.3,4,0.53,False,25.4,0.24,True
gas safe,14.71,52,0,9.2,0.0,4,0.81,True,20.67,0.0,True
high street,14.66,132,9,23.34,0.91,4,0.65,False,41.83,0.97,True
each radiator,14.66,46,0,8.13,0.0,3,0.98,True,14.94,0.0,True
been together,14.48,32,1,5.66,0.1,2,1.0,True,0.0,0.0,False
sickness absence,14.47,54,1,9.55,0.1,4,0.74,True,17.68,0.24,True
trapped air,14.4,46,0,8.13,0.0,3,0.87,True,15.19,0.0,True
the filling loop,14.28,45,0,7.96,0.0,3,0.93,True,15.19,0.0,True
five working,14.28,51,0,9.02,0.0,4,0.69,False,19.67,0.0,True
from the boiler,14.24,46,0,8.13,0.0,3,0.8,True,15.69,0.0,True
within days of the,14.24,50,0,8.84,0.0,4,0.74,True,18.18,0.0,True
